station name,station url,image
גלגל""צ,http://glzwizzlv.bynetcdn.com/glglz_mp3?awCollectionId=misc&awEpisodeId=glglz,http://www.fm1.co.il/images/stations/glgltz.png
eco99,https://99.livecdn.biz/99fm,https://eco99fm.maariv.co.il/assets/images/logo.png
kan88,http://kanliveicy.media.kan.org.il/icy/749623_mp3,https://kanweb.blob.core.windows.net/download/pictures/Logo_Color4_img__1.png
